,Text,Author,Created at,Retweet count,Favorite count,Location,Follower count
85,"RT @TeslaNY: Model S Plaid Fund (6/21/21): “We’ve already bought it, it’s on order, we should get it in 2 weeks.” 🏎⚡️🔌 https://t.co/puqyVGa…",TeslaGong,2021-06-22 23:45:57,52,0,"Wollongong, New South Wales",6047
86,"Will the C8 Corvette Platform Ever Put Out Tesla Model S Plaid Numbers? 

https://t.co/Z3fRHAOsDR  $tsla $gm #tesla… https://t.co/BSW2Jb9jcC",c8corvetteblog,2021-06-22 23:43:50,0,0,Online,199
87,"RT @pauljamil: Just took delivery of the first Model S Plaid in Virginia. I’ve owned lambos, ferraris, and mclarens, and I’ve NEVER felt an…",dannpasia,2021-06-22 23:43:03,507,0,"Batangas City, Philippines",99
88,#Delta #China #Kane #Trump #Bitcoin #Germany #GERHUN #Tesla #arsenal #naruto #btsdiamond #modric #BamBamXSeulgi_zip… https://t.co/4X3dETieic,Albertbaron7,2021-06-22 23:42:37,0,0,,132
89,"Stray Doge Token Official Website Launch on July 4th
Join us on Twitter for more exciting news!!
#Bitcoin… https://t.co/Om7T7ivC0R",StrayDoge_tkn,2021-06-22 23:42:13,0,1,Crypto Space,19
90,"RT @blakestorie: @elonmusk @Tesla @dogecoin @SpaceX 
Look what I found! Crypto Legends : @ElonMusk collectible https://t.co/5u9NcpUBPr? #ra…",GimmeDeezy,2021-06-22 23:41:31,2,0,STAY+,1021
91,@BahamaBen9 $TSLA will be in new markets in 2025 that no one has even thought of yet. Innovation leads to more inno… https://t.co/dHaqoAzCvS,ArstasticWorld,2021-06-22 23:40:59,0,1,San Francisco,49
92,"RT @pauljamil: Just took delivery of the first Model S Plaid in Virginia. I’ve owned lambos, ferraris, and mclarens, and I’ve NEVER felt an…",BentlyRohan,2021-06-22 23:40:49,507,0,,0
93,"RT @CumBlastBsc: Time For Cumblasting Is Approaching!!!💦💦💦
One Lucky Cumblaster will be selected for the @Tesla #giveaway on June 23 at 5 p…",sPikE___,2021-06-22 23:40:30,12,0,,34
94,"RT @blakestorie: @elonmusk @Tesla @dogecoin @SpaceX 
Look what I found! Crypto Legends : @ElonMusk collectible https://t.co/5u9NcpUBPr? #ra…",SauerMila,2021-06-22 23:40:30,2,0,MUNICH,1442
95,"@elonmusk @Tesla @dogecoin @SpaceX 
Look what I found! Crypto Legends : @ElonMusk collectible… https://t.co/s8YLpUjJNa",blakestorie,2021-06-22 23:40:28,2,2,Global,1115
96,"RT @pauljamil: Just took delivery of the first Model S Plaid in Virginia. I’ve owned lambos, ferraris, and mclarens, and I’ve NEVER felt an…",Iivingmemorv,2021-06-22 23:39:20,507,0,,0
97,"RT @farboot1003: Day 01/365 for my inspiration to see this video @elonmusk 😄 

#Elonmusk 
#Tesla 
#SpaceX https://t.co/ZkGMpAhIat",godfrey_G_,2021-06-22 23:38:19,1,0,"Johannesburg, South Africa",2425
98,"RT @PugTyrone: #Bitcoin next move?

#btc #ethereum #eth #doge #shib #safemoon #xrp #xlm #SIACOIN #etc #ada #Cardano #filecoin #link #Chainl…",siacoininvestin,2021-06-22 23:37:45,4,0,,90
99,"TO THE MOON 🚀🚀🚀
#DogeFather 
#Elonmusk 
#Tesla 
#dogearmy 
#dream 
#moon 
#SpaceX 
#Bitcoin 
#MattWallace888… https://t.co/ddDG4Ucm4l",RhelliH,2021-06-22 23:37:05,1,3,,88
100,"@elonmusk here's an idea. Since Teslas are basically computers on wheels, why not have them mine some form of crypt… https://t.co/cwVMAFAk6h",pcifarelli,2021-06-22 23:36:45,0,0,"Round Rock, TX",90
101,"RT @pauljamil: Just took delivery of the first Model S Plaid in Virginia. I’ve owned lambos, ferraris, and mclarens, and I’ve NEVER felt an…",Aubrie5t8b,2021-06-22 23:36:42,507,0,,0
102,"@CumBlastBsc @elonmusk @Tesla good project！
I've been in many projects but none match this. The dev behind CumBlast… https://t.co/5ekW64q5I1",apy_swap,2021-06-22 23:36:16,0,0,,21
103,"RT @CumBlastBsc: Time For Cumblasting Is Approaching!!!💦💦💦
One Lucky Cumblaster will be selected for the @Tesla #giveaway on June 23 at 5 p…",DarshSinghhoge,2021-06-22 23:34:41,12,0,,109
104,RT @nigewillson: Tesla unveils its new supercomputer (5th most powerful in the world) to train self-driving Artificial Intelligence https:/…,yoselino,2021-06-22 23:34:35,25,0,"Jakarta Capital Region, Indone",173
105,"@realMeetKevin please reduce the nu@bee of videos, there are less and less viewers #tesla #ark $arkk $arkg $arkw https://t.co/mQiEZYFmRD",FixedGuru,2021-06-22 23:34:00,0,0,United States,127
106,RT @EvanKirstel: #Tesla's 'Dojo' #supercomputer will train its vision-centric #autonomous tech https://t.co/UvRZdD7Acm #ai #deeplearning @t…,OpenMarketingTV,2021-06-22 23:32:17,17,0,Amsterdam,18762
107,"RT @DIEBO37: Tesla Shows Off Its Brand New AI-Training Supercomputer
#Tesla #AI #ArtificialIntelligence #SuperComputer #𝒟𝒾𝑒𝒷𝒪37 
https://t.…",DIEBO37RT2,2021-06-22 23:32:11,35,0,United States - Boston,759
108,"RT @pauljamil: Just took delivery of the first Model S Plaid in Virginia. I’ve owned lambos, ferraris, and mclarens, and I’ve NEVER felt an…",sanleviatan,2021-06-22 23:31:38,507,0,Hell ,47
109,"New #Tesla #Supercharger/#Store/#Service: Winchester, UK https://t.co/sTRZbFNXqc. Total: 2630  #bot https://t.co/qh3a08FKQm",teslaliving,2021-06-22 23:31:09,0,1,"Massachusetts, USA",35788
110,I just can't comprehend the anti Tesla sentiment people have sometimes. This is not the first time someone puts the… https://t.co/xd5Idct6Ze,ShutTheFrnkDoor,2021-06-22 23:31:04,0,6,"Miami, FL",492
111,"$TSLA winnings of initial #BTC investment🙌

$-102249386 (-7.57 %) (Realized: 272 M)
(Estimating an average buy pric… https://t.co/ETOlPDxKWi",MBrae3,2021-06-22 23:30:05,0,2,,1263
112,#Tesla fastest car has a 'Drag Strip Mode' that lets you go from 0 to 60 miles per hour in under 2 seconds - but th… https://t.co/LEnuRqdDM1,TapHopSeattle,2021-06-22 23:29:05,0,0,#Seattle and #Baltimore,365
113,@Lapaixlemonde @elonmusk Good luck with this Paul...massive plus for #Tesla if they have you on team.,paesean,2021-06-22 23:28:48,0,1,Toronto & Costa Rica,1932
114,"RT @ClaireMusk: 🚨 Korean Backlash Against #Tesla's Design Defects: 
If S. Korea requires that car doors must be able to be opened in case o…",AdvKiwi,2021-06-22 23:27:29,16,0,New Zealand ,148
115,"RT @CumBlastBsc: Time For Cumblasting Is Approaching!!!💦💦💦
One Lucky Cumblaster will be selected for the @Tesla #giveaway on June 23 at 5 p…",WidiadiHilman,2021-06-22 23:27:21,12,0,Indonesia,9
116,"RT @CumBlastBsc: Time For Cumblasting Is Approaching!!!💦💦💦
One Lucky Cumblaster will be selected for the @Tesla #giveaway on June 23 at 5 p…",Christi58428446,2021-06-22 23:27:01,12,0,,3
117,RT @ElJaguarVR: I want a Model X Plaid in pink with that sexy white interior 🔥 #CumRocket edition @CumRocketCrypto #CUMMIES #BinanceSmartCh…,Iain61108533,2021-06-22 23:25:47,1,0,,1
118,RT @ElJaguarVR: @elonmusk @karpathy I want a Model X Plaid in pink with that sexy white interior 🔥 #CumRocket @CumRocketCrypto #CUMMIES #Bi…,Iain61108533,2021-06-22 23:25:43,1,0,,1
119,"RT @techpearce2: #German minister in talks with #Tesla over sharing #supercharger #network - Reuters

@digitalcloudgal
@netthreatltd
@AswBa…",Exchange5g,2021-06-22 23:25:08,1,0,"New York, NY",3000
120,"In Focus: Lordstown Motors, We Wanted It So Bad | Why Investors Got It Wrong | https://t.co/e9bDMlhjWN |… https://t.co/fLP6Wn7FfK",SevilleReport,2021-06-22 23:25:00,0,0,"New York, USA",206
121,"RT @Stephan9015: My list of new and upcoming #BEV (pure battery electric) vehicle models has now hit 500 and it will grow further. #EV, #VW…",LexBrow36686039,2021-06-22 23:24:39,18,0,"Adelaide, South Australia",195
122,"RT @Stephan9015: My list of new and upcoming #BEV (pure battery electric) vehicle models has now hit 500 and it will grow further. #EV, #VW…",StevenJHeaton,2021-06-22 23:22:41,18,0,"Central Coast, New South Wales",401
123,"If speak it into existence was a person… I lie to you not, this kid has been asking for a red Tesla car for weeks!… https://t.co/mWm1grOuja",LesleyMcclendon,2021-06-22 23:21:38,0,1,"Hampton, VA",763
124,RT @tim_zaman: At #Tesla  Autopilot we are bringing up our 3rd cluster - one of the biggest supercomputers in the world. We're scaling fast…,All_That_Ash601,2021-06-22 23:21:06,429,0,"Bossier City, Louisiana",290
125,RT @NickBalazs: @elonmusk now would be a fantastic time to announce @Tesla #dogecoin #ethereum acceptance! Giving the little guy an opportu…,_DiamondFingers,2021-06-22 23:20:34,14,0,"Austin, TX",427
126,"RT @pauljamil: Just took delivery of the first Model S Plaid in Virginia. I’ve owned lambos, ferraris, and mclarens, and I’ve NEVER felt an…",Madalynnpjr5h,2021-06-22 23:19:55,507,0,,0
127,"RT @pauljamil: Just took delivery of the first Model S Plaid in Virginia. I’ve owned lambos, ferraris, and mclarens, and I’ve NEVER felt an…",albanymay,2021-06-22 23:18:09,507,0,Venezuela,1039
128,RT @EvanKirstel: #Tesla's 'Dojo' #supercomputer will train its vision-centric #autonomous tech https://t.co/UvRZdD7Acm #ai #deeplearning @t…,ernieschell,2021-06-22 23:17:52,17,0,"Ventnor City, NJ - USA",12465
129,RT @JohnNosta: Elon Musk’s Wonder and Fear: The Duality of Innovation.  https://t.co/BEGjvKSGvJ #Tesla #innovation #technology @elonmusk  #…,moorehn,2021-06-22 23:15:43,49,0,"Here and there, hither and yon (NYC/Paris)heidi dot n dot moore at gmail dot com",104207
130,Check out 'Tesla Keynote Presentation' on #EnvatoMarket #graphicriver https://t.co/r7jstCpytz #tesla #keynote #presentation #design #colege,Rizign,2021-06-22 23:14:37,0,0,Jakarta,1605
131,RT @jolin652: This is the first real info I have seen on the Tesla Dojo Supercomputer.  It's the 5th most powerful in the WORLD.  Tesla is…,CorblynD,2021-06-22 23:14:02,0,0,Texas,720
132,"RT @DunioSteve: @elonmusk I hope #SpaceX is still planning on putting a Dogecoin on the moon.
#doge #ElonMusk #DogeFather #dogearmy #Dogeco…",godfrey_G_,2021-06-22 23:13:35,1,0,"Johannesburg, South Africa",2425
133,"RT @pauljamil: Just took delivery of the first Model S Plaid in Virginia. I’ve owned lambos, ferraris, and mclarens, and I’ve NEVER felt an…",Giovannihpmkv,2021-06-22 23:12:23,507,0,,1
